Model,Rank,MAPE
DLTMAP_LogLin,1.0,2.736781627522188
DLTMAP_Linear,2.0,2.736784496748376
ARIMA,3.0,2.9957109800961836
ETSFull,4.0,11.26100811580779
LGTAggregation,5.0,12.323500001033196
LGTFull,6.0,12.356757696666868
LGTMAP,7.0,12.601114753950807
DLTMAP_Logistic,8.0,25.17677548240146
DLTFull,9.0,39.38055333230312
